geometry,amenity,is_in,name,addr:city,addr:housename,addr:postcode,addr:street,emergency,healthcare,note,operator,addr:housenumber,opening_hours,addr:district,addr:full,addr:state,phone,source,name:en,email,healthcare:speciality,addr:block,health_facility:type,operator:type,website,wikidata,wikipedia,check_date,addr:subdistrict,level,air_conditioning,branch,building,name:ta,building:levels
POINT (80.2415751 13.097668),clinic,,Amruth Siddha and Ayurvedic Clinic,,,600023,,,clinic,,,,,Chennai,"#45/11,K.H Road,Ayanavaram,Opp T N S C Bank Near Ayanavaram Signal",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2217676 13.0607823),clinic,,Siva Sakthi Nursing Home,,,600094,,,,,,,,Chennai,"No. 7, Venkateswara Lane, Anna Nednmpathai, Choolaimeda, Near Kodambakkam (Power House)",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2170509 13.037934),clinic,,Csm Nursing Home,,,600033,,,clinic,,,,,Chennai,"Old No:18 New No: 10, Westmambalam, Rukmani St",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone X,,,,,,,,,,,,,
POINT (80.236031 13.0838165),clinic,,Sree Sai Krishna Poly Clinic Hospital,,,600010,,,clinic,,,,,Chennai,"#32/1, (Old No.463/1),Kilpauk Garden Road ,Kilpauk",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2576784 13.0346684),clinic,,Aarthi Scans,,,600018,,,,,,,,Chennai,"No 17, CV Raman Road",Tamil Nadu,,OpenGovernmentData,,,Cardiology; Cardiac Surgery; Cyanotic and Acyanotic Heart Diseases (Simple and Complex); Vascular Surgery; Gastroenterology,,,,,,,,,,,,,,
POINT (80.2321847 13.0312145),clinic,,Sri Visa Clinic,,,600017,,,clinic,,,,,Chennai,"A Unit Of Sre Visa Clinic (P) Ltd, No.13,New Boag Road, T Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2164307 13.0352086),clinic,,Sri Hari Clinic,,,600083,,,clinic,,,,,Chennai,"61, 7Th Avenue, Ashok Kumar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2354315 13.0768382),clinic,,Dr. A.G. Arumugam Nursing Home,,,600010,,,clinic,,,,,Chennai,"Old No.764, New No.402, Poonamallee High Road, (Chathurpujadoss Road), Kilpauk, Madras",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2596062 13.0872141),clinic,,Dr Ravishankars Eye Clinic and Nursing Home,,,600112,,,clinic,,,,,Chennai,"No.11, Hunters Road, (Near Clock Tower) Vepery",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2645898 13.0489087),clinic,,Seethapathy Nursing Home,,,600014,,,clinic,,,,,Chennai,"241,Royupattak High Road",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2533312 12.991685),clinic,,Adyar Dispensary,,,600020,,,centre,,,,,Chennai,"Block No l.122/169-170,CPWD Quarters, Indira Nagar, Adyar",Tamil Nadu,,OpenGovernmentData,,,,,dispensary,government,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,,,,,,,,,,
POINT (80.2436035 13.1216418),clinic,,Dr. M. Mohamed Meeran Clinic,,,600039,,,clinic,,,,,Chennai,"77, Paper Mills Road, Perambur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2456386 13.0782438),clinic,,Ramarau Polyclinic,,,600010,,,clinic,,,,,Chennai,"New.No.264 (Old No 829/2), Poonamallee High Road, Kilpauk",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2079107 13.0368),clinic,,K.K. Nagar Dispensary and Polyclinic,,,600078,,,clinic,,,,,Chennai,"GPRA Complex, CPWD Quarters, K.K.Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,government,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,,,,,,,,,,
POINT (80.2518544 13.0017764),clinic,,Adyar Ortho Clinic,,,600020,,,clinic,,,,,Chennai,"108/2, Akhil Apartment, Kamaraj Avenue First Street, Kasturba Nagar Main Road, Adyar, near Nalli Silks, Chennai",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2498239 13.0012776),clinic,,Siloam Hospital,,,600020,,,clinic,,,,,Chennai,"Justice Ramaswamy Ave, Venkata Rathnam Nagar Extension, Rukmani Nagar, Adyar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2497784 13.0015495),clinic,,Dr VK Jayalakshmi - Vishnu Fertility Centre,,,600020,,,clinic,,,,,Chennai,"No: 148, Kamaraj Ave 2nd St, Adyar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2517777 13.1308512),clinic,,Shri Pooja Maternity Clinic,,,600118,,,clinic,,,,,Chennai,"Opp. Relince Fressh, M.R. Nagar, Tondiarpet High Road",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone I,,,,,,,,,,,,,
POINT (80.302246 13.18013),clinic,,Urban Health Poly Clinic,,,600057,,,clinic,,,,,Chennai,"Street No. 2 Jothi Nagar, Tiruvottiyur",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone Ix,,,,,,,,,,,,,
POINT (80.2012267 13.0583373),clinic,,Sakthi Nursing Home,,,600093,,,,,,,,Chennai,"No.4, Near Nagathamman Koil St, Saligramam, M.G.R. Salai",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone X,,,,,,,,,,,,,
POINT (80.2217663 13.0605437),clinic,,Siva Sakthi Nursing Home,,,600094,,,,,,,,Chennai,"No:7, Near Anna Nedumapadhai Market, Choolaimedu, Venkateswara Lane",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone Ix,,,,,,,,,,,,,
POINT (80.223972 13.12222),clinic,,Kts Nursing Home,,,600099,,,clinic,,,,,Chennai,"No: 7/10, Near By Perambur Srinivasa Sweets, Kolathur, Bharathi Nagar Balaji Nagar Main Road",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone Vi,,,,,,,,,,,,,
POINT (80.194729 13.05943),clinic,,SBS Hospital Nursing Home,,,600092,,,,,,,,Chennai,"No.3, Virugambakkam, Iind Main Road Natesan Nagar",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone X,,,,,,,,,,,,,
POINT (80.273916 13.05774),clinic,,Subam Clinic,,,600005,,,clinic,,,,,Chennai,"239/4, Rathna Cafebus Stand, Triplicane, Triplicane High Road",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone Ix,,,,,,,,,,,,,
POINT (80.2857643 13.1192346),clinic,,Ranga Nursing Home,,,600021,,,clinic,,,,,Chennai,"Near Maharani Post Office, Old Washermenpet, Thiruvottiyur High Road",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone I,,,,,,,,,,,,,
POINT (80.2745047 13.0621485),clinic,,RIDA Physiotherapy Clinic,,,600005,,,clinic,,,,,Chennai,"Near Star Theatre, Triplicane High Road, Triplicane, Quaide-Millath High Road",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone Ix,,,,,,,,,,,,,
POINT (80.2796126 13.1069544),clinic,,Hemakamal Nursing Home,,,600001,,,clinic,,,,,Cuddalore,"Kathbada Rd, Basin Bridge, Kathibada, Royapuram, Chennai",Tamil Nadu,,OpenGovernmentData,,,,Kumaratchi,,,,,,,Chidambaram,,,,,,
POINT (80.2350491 13.0566709),clinic,,Dr. Premkumar's Orthopedic Clinic,,,,,,clinic,,,,,,,,,,,,orthopaedics,,,,,,,,,,,,,,
POINT (80.2246285 13.0348047),clinic,,Shree Chakra Maternity Clinic and Nursing Home,,,600033,,,clinic,,,,,Chennai,"Old No 108 New No: 4, T. Nagar Bus Stand Madley Subway, West Mambalam, Ellaiamman Koil Street",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone X,,,,,,,,,,,,,
POINT (80.2419057 13.0340836),clinic,,Kavitha Clinic,,,600017,,,clinic,,,,,Chennai,"71/89, T. Nagar, South Westboag Road",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone X,,,,,,,,,,,,,
POINT (80.1911357 13.0298958),clinic,,Hirsh Nursing Home,,,600089,,,clinic,,,,,Chennai,"No.35 Old No:5, Near Mgr Statue, Nesapakkam, Bharathi Nagar Main Road",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone X,,,,,,,,,,,,,
POINT (80.192207 12.9854281),clinic,,Acharya Clinic,,,600061,,,clinic,,,,,Chennai,"2Nd Main Rd, Ncbs Colony, Nanganallur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,
POINT (80.2040772 12.9771173),clinic,,Ram Skin Clinic,,,600021,,,clinic,,,,,Chennai,"248/777, Opp. H-3 Police Station, Tondiarpet, Thiruvottriyur High Road",Tamil Nadu,,OpenGovernmentData,,,,Chennai Zone I,,,,,,,,,,,,,
POINT (80.2533929 13.1534531),clinic,,Memisa Skin Clinic,,,600051,,,,,,,,Tiruvallur,Manali,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.246488 13.167576),clinic,,Sri Jayakala Clinic,,,600051,,,clinic,,,,,Tiruvallur,Mathur,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2121709 13.131644),clinic,,Maaya Nursing Home,,,600099,,,clinic,,,,,Tiruvallur,Vadapalani,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.3007588 13.1523024),clinic,,M.A. Nursing Home,,,600019,,,clinic,,,,,Tiruvallur,"Rajakadai, Tiruvottiyur, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.3009641 13.1521212),clinic,,Gowtham Clinic,,,600019,,,clinic,,,,,Tiruvallur,"Thyagarajapuram, Tiruvottiyur, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2098306 13.1651744),clinic,,Acharya Tulsi Clinic,,,600066,,,,,,,,Tiruvallur,"Puzhal, Lyon",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.200226 13.1724224),clinic,,Mahalakshmi Clinic,,,600066,,,,,,,,Tiruvallur,"Gurushanthi Nagar, Kavankarai, Puzhal",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.3012914 13.1517568),clinic,,Dr. Anupama Roshan Skin Specialist,,,600019,,,clinic,,,,,Tiruvallur,"Kaladipet, Tiruchanankuppam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.199551 13.170706),clinic,,Sri Kannan Clinic,,,600066,,,,,,,,Tiruvallur,,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2073327 13.1327627),clinic,,Dr. Ezhilarasi Clinic,,,600099,,,clinic,,,,,Tiruvallur,"Rajan Nagar, Lakshmipuram",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.3012826 13.1520648),clinic,,Dr. Merwin Clinic,,,600019,,,clinic,,,,,Tiruvallur,"Thyagarajapuram, Tondiarpet, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2978175 13.1463416),clinic,,Ropheka Polyclinic,,,600019,,,clinic,,,,,Tiruvallur,"Vasantha Nagar, Tiruvottiyur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2594403 13.1625945),clinic,,Kvm Physiotherapy Clinic,,,600051,,,clinic,,,,,Tiruvallur,"Chinnasekkadu, Manali",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.247696 13.1675158),clinic,,Srs Healthcare Clinic,,,600068,,,clinic,,,,,Tiruvallur,,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.3009519 13.156041),clinic,,Prasad ENT,,,600019,,,clinic,,,,,Tiruvallur,"Rajakadai, Tondiarpet, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2092573 13.1358049),clinic,,Dr. Saravana's Ortho Clinic,,,600099,,,clinic,,,,,Tiruvallur,"Lakshmipuram, Kolathur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.205369 13.1621341),clinic,,Sri Malar Clinic,,,600066,,,,,,,,Tiruvallur,"Sakthivel Nagar, Puzhal",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2000625 13.1711581),clinic,,GK Shree Health Clinic,,,600066,,,,,,,,Tiruvallur,Kavanagarai,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2584421 13.1602832),clinic,,Sri Vishnu Clinic,,,600068,,,clinic,,,,,Tiruvallur,"Chinnasekkadu, Manali",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1814527 13.0471927),clinic,,Yagnyaa Diabetes Clinic,,,600087,,,,,,,,Tiruvallur,Valasaravakkam,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1858062 13.0456848),clinic,,Maf Clinic,,,600087,,,clinic,,,,,Tiruvallur,"Alwartiru Ngar, Valasaravakkam",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1844199 13.0447838),clinic,,Sri Venkatesvara Physio and Obesity Centre,,,600087,,,clinic,,,,,Tiruvallur,"Arcot Road, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1820026 13.0456183),clinic,,Latha Ravichandran Clinic,,,600087,,,,,,,,Tiruvallur,"Palaniappa Nagar, Valasaravakkam",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.184247 13.0442533),clinic,,Jeevan Women Care Clinic,,,600095,,,clinic,,,,,Tiruvallur,"Valasaravakkam, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1807184 13.0382058),clinic,,Udhaya Sai Clinic,,,600087,,,,,,,,Tiruvallur,"Chowthri Nagar, Valasaravakkam",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2370143 12.9428602),clinic,,Sri Kumaran Clinic,,,600097,,,,,,,,Chengalpattu,Oggiyamduraipakkam,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2327258 12.9347551),clinic,,Jayadeva Fertility Centre and Women's Hospital,,,600097,,,clinic,,,,,Chengalpattu,Thoraipakkam,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2361968 12.9458692),clinic,,GV's Good Health Centre,,,600097,,,,,,,,Chengalpattu,Oggiyamduraipakkam,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.233537 12.933657),clinic,,Sara Skin Clinic,,,600097,,,clinic,,,,,Chengalpattu,Oggiyamduraipakkam,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2355344 12.9338927),clinic,,Eashwar Multispeciality Clinic,,,600097,,,clinic,,,,,Chengalpattu,"Raj Nagar, Oggiyamduraipakkam",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2326608 12.9020392),clinic,,Tharamai Child Care Clinic,,,600119,,,clinic,,,,,Chengalpattu,Sholinganallur,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2331464 12.9337566),clinic,,Apollo Clinic,,,600097,,,clinic,,,,,Chengalpattu,,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.228171 12.8994432),clinic,,Dr. Nithiya Clinic,,,600119,,,clinic,,,,,Chengalpattu,"Ezhil Nagar, Sholinganallur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2397616 12.9424446),clinic,,Rayar Clinic,,,600097,,,,,,,,Chengalpattu,"Mettukuppam, Oggiyamduraipakkam",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2344666 12.9334179),clinic,,H.K. Clinic,,,600097,,,clinic,,,,,Chengalpattu,Oggiyamduraipakkam,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2345155 12.9330206),clinic,,Angel Child Clinic,,,600097,,,clinic,,,,,Chengalpattu,Oggiyamduraipakkam,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2321791 12.9136451),clinic,,Cure and Care Family Clinic,,,600097,,,clinic,,,,,Chengalpattu,Karappakam,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2015489 12.9208368),clinic,,Sri Vinayaga Clinic,,,600100,,,,,,,,Chengalpattu,"Jalladiampet, Medavakkam",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2078664 12.9308777),clinic,,S.M Clinic,,,600100,,,clinic,,,,,Chengalpattu,"Jeeva Nagar, Pallikaranai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.202681 12.928255),clinic,,Cuticle Skin Care Clinic,,,600100,,,clinic,,,,,Chengalpattu,Pallikaranai,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.203583 12.934049),clinic,,Radial Ortho Clinic,,,600100,,,clinic,,,,,Chengalpattu,Pallikaranai,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2026963 12.928455),clinic,,Bethany Physiotherapy Centre,,,600100,,,clinic,,,,,Chengalpattu,Pallikaranai,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2008099 12.9287243),clinic,,Janya Child Clinic,,,600100,,,,,,,,Chengalpattu,Pallikaranai,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2017237 12.926507),clinic,,Shree's Women Speciality Clinic,,,600100,,,,,,,,Chengalpattu,Medavakkam,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2051951 12.9280018),clinic,,Al-Aafiyah Clinic,,,600100,,,clinic,,,,,Chengalpattu,Pallikaranai,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.202855 12.928347),clinic,,Kiruba Clinic,,,600100,,,clinic,,,,,Chengalpattu,Pallikaranai,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.204033 12.935996),clinic,,Sneham Clinic,,,600100,,,clinic,,,,,Chengalpattu,"Chittibabu Nagar, Pallikaranai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2053961 12.9384098),clinic,,Delicare Clinic,,,600100,,,clinic,,,,,Chengalpattu,Pallikaranai,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.213342 12.934834),clinic,,Sathish Clinic,,,600100,,,clinic,,,,,Chengalpattu,"Shanti Nagar, Pallikaranai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2604704 12.9728845),clinic,,Dani Physio Clinic,,,600041,,,clinic,,,,,Chengalpattu,Thiruvanmiyur,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2594925 12.9752589),clinic,,Noble Super Speciality Clinic,,,600041,,,clinic,,,,,Chengalpattu,Thiruvanmiyur,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2555078 12.9753853),clinic,,Turiya Care,,,600041,,,clinic,,,,,Chengalpattu,Thiruvanmiyur,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.1838246 13.0154658),clinic,,Healthwise Clinic,,,600089,,,,,,,,Chengalpattu,"Tulasingapuram, Nandambakkam",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2591196 12.9653707),clinic,,Dr. Aleem's Homoeo Clinic,,,600041,,,clinic,,,,,Chengalpattu,"Palkalai Nagar, Palavakkam",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2595079 12.9726702),clinic,,Smiles Nature Cure,,,600041,,,clinic,,,,,Chengalpattu,"Karpagambal Nagar, Kottivakkam",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.186442 13.036466),clinic,,Sri Renga Clinic,,,600083,,,,,,,,Chennai,"Mookambigai Nagar, Nesapakkam",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2539494 12.9829583),clinic,,Sri Sai Clinic,,,600041,,,clinic,,,,,Chennai,"Kamaraj Nagar, Thiruvanmiyur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2638132 12.9962691),clinic,,Shri Gurukrupa Clinic,,,600090,,,clinic,,,,,Chennai,"Kakkan Nagar, Besant Nagar",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.259708 13.0221852),clinic,,Dr. Vasantha's Eye Clinic,,,600028,,,clinic,,,,,Chennai,,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2660055 12.9956385),clinic,,Synapse Pain and Spine Clinic,,,600090,,,clinic,,,,,Chennai,Besant Nagar,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2630762 12.9960029),clinic,,RR Clinic,,,600090,,,clinic,,,,,Chennai,Besant Nagar,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2682429 12.9954269),clinic,,Dr. Baranee's Sukra Diabetes Care,,,600090,,,clinic,,,,,Chennai,Besant Nagar,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2622141 12.9866722),clinic,,Best Siddha Clinic,,,600041,,,clinic,,,,,Chennai,Chennai,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2606156 13.0297211),clinic,,Sri Sarada Ayurveda Clinic,,,600028,,,clinic,,,,,Chennai,"Mandaveli, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2602795 13.0292453),clinic,,Dr. Vasantha Clinic,,,600004,,,clinic,,,,,Chennai,"Narasimahapuram, Abiramapuram, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2601508 12.9863661),clinic,,Drabaranam Pulmonology Clinic,,,600041,,,clinic,,,,,Chennai,"Kamaraj Nagar, Thiruvanmiyur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2595179 12.9796957),clinic,,Jeeva ENT Clinic,,,600041,,,clinic,,,,,Chennai,"Thiruvalluvar Nagar, Thiruvanmiyur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2779849 13.0544077),clinic,,Dr. Vasanthi Clinic,,,600005,,,clinic,,,,,Chennai,"Narayana Krishnaraja Puram, Triplicane",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2585613 12.985598),clinic,,Leela Eye Clinic,,,600041,,,clinic,,,,,Chennai,"Ambedkar Nagar, Kamaraj Nagar, Thiruvanmiyur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2637162 12.9963121),clinic,,The Homeo Clinic,,,600090,,,clinic,,,,,Chennai,"Anna Colony, Besant Nagar",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2658475 13.0375294),clinic,,Dr. N. Sekar,,,600004,,,clinic,,,,,Chennai,"Mylapore, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2685888 13.0397241),clinic,,Ashwath Health Care,,,600004,,,clinic,,,,,Chennai,"Mylapore, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2641614 12.9962821),clinic,,Jeyam Gastro Clinc,,,600090,,,clinic,,,,,Chennai,"Kakkan Nagar, Besant Nagar",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2694554 12.9940564),clinic,,Rekha Multispeciality Clinic,,,600090,,,clinic,,,,,Chennai,Besant Nagar,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2629482 12.9949549),clinic,,The Chennai Speciality Clinic,,,600090,,,clinic,,,,,Chennai,"Kalakshetra Colony, Besant Nagar",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2584981 12.9790513),clinic,,The Madras Pain Clinic,,,600041,,,clinic,,,,,Chennai,"Rajaji Nagar, Thiruvanmiyur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2664963 13.042349),clinic,,Sai Clinic,,,600004,,,clinic,,,,,Chennai,"Mylapore, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2626006 12.9964001),clinic,,Akshaya Poly Clinic,,,600090,,,clinic,,,,,Chennai,"Vannanthurai, Besant Nagar",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2582848 12.9969555),clinic,,Dr. Prema Womens Clinic,,,600041,,,clinic,,,,,Chennai,"Shastri Nagar, Adyar",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2585578 12.9978588),clinic,,K.S. Subramanian Child Specialist,,,600020,,,clinic,,,,,Chennai,"Shastri Nagar, Adyar",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2559655 12.9832651),clinic,,Dr. Kavitha Iyer's Orthodontics & Dental Centre,,,600041,,,clinic,,,,,Chennai,"Kamaraj Nagar, Thiruvanmiyur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2726053 13.0532206),clinic,,B.K. Clinic,,,600014,,,clinic,,,,,Chennai,Triplicane,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2595716 13.0318707),clinic,,Sai Neuro Clinic,,,600004,,,,,,,,Chennai,"Mandaveli Railway Station, Abiramapuram, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2643211 12.9815891),clinic,,Vethathiri Maharishi Siddha Clinic,,,600041,,,clinic,,,,,Chennai,"Thiruvalluvar Nagar, Thiruvanmiyur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2580026 13.034819),clinic,,Elixir Multi Speciality Centre,,,600018,,,,,,,,Chennai,"Alwarpet, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2661832 12.994316),clinic,,Akshi Vision Therapy,,,600090,,,clinic,,,,,Chennai,"Kalakshetra Colony, Besant Nagar",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2587762 12.9767853),clinic,,Remedy Clinic,,,600041,,,clinic,,,,,Chennai,"Netaji Nagar, Thiruvanmiyur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.261741 12.982038),clinic,,Sri Sai Homoeo Clinic,,,600041,,,clinic,,,,,Chennai,"Thiruvalluvar Nagar, Thiruvanmiyur",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2612955 13.0373228),clinic,,Sri Sai Speciality Clinic,,,600004,,,,,,,,Chennai,"Bhaskarapuram, Mylapore, Chennai",Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
POINT (80.2642007 12.9964116),clinic,,Nanthini Speciality Clinic,,,600090,,,clinic,,,,,Chennai,Besant Nagar,Tamil Nadu,,Local Knowledge,,,,,,,,,,,,,,,,,
