geometry,addr:postcode,amenity,healthcare,healthcare:speciality,name,name:en,name:etymology:wikidata,name:ta,operator,wikidata,wikipedia,addr:district,addr:full,addr:state,operator:type,source,website,addr:subdistrict,email,operator:wikidata,operator:wikipedia,addr:block,addr:city,check_date,wikimedia_commons,addr:street,phone,wheelchair,opening_hours,addr:housenumber,designation,addr:interpolation,emergency,addr:housename,addr:neighbourhood,addr:suburb,note,is_in,description,internet_access,contact:phone,payment:cash,payment:credit_cards,payment:debit_cards,alt_name,start_date,whatsapp,speciality,image,mobile,payment:google_pay,payment:insurance,contact:mobile,name:hi,name:ml,building,official_name,operator:short,landuse,short_name,name:tn,fax,building:levels,comment,contact:email,type
POINT (80.2112943 13.1026603),600049,hospital,hospital,,Cauvery Trust Hospital,,,,,,,Tiruvallur,"No.36, Ponnankinaru Street, Villivakkam",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1670808 13.0229098),600125,hospital,hospital,general;paediatrics,Kedar Hospital,,,,,,,Kanchipuram,"19, Vinayagapuram, Mugalivakkam Main Road Porur",Tamil Nadu,,OpenGovernmentData,,,,,,,சென்னை - Chennai,,,Mugalivakkam Main Road,,yes,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1796965 13.0829726),600037,hospital,hospital,,Srinivas Eye Hospital,,,,,,,Tiruvallur,"335, Thirucalluvar Salai Panneer Nagar, Mugapair Chennai",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2156412 13.0838202),600040,hospital,hospital,,Soundarapandian Bone and Joint Hospital Research Institute Pvt. Ltd.,,,,,,,Chennai,"Aa 16, 3Road Main Road, Anna Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2572808 13.079494),600084,hospital,hospital,,Dr. U. Mohan Rau Memorial Hospital - Chennai,,,,,,,Chennai,"962, Poonamallee High Road, Near Egmore Over Bridge",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.234026 13.0762935),600010,hospital,hospital,,Chennai Cancer Care,,,,,,,Chennai,"# 55,New Avadi Road,Kilpauk",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2246302 12.9789449),600042,hospital,hospital,,Chennai Eye Care Hospital,,,,,,,Chennai,No 6 12Th Cross Steet Dhandeeswaram Nagar Velachery,Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2410534 13.0917939),600010,hospital,hospital,,Chennai Heart Centre,,,,,,,Chennai,"64, Medavakkam Tank Road, Kilpauk",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2558082 13.0268492),600028,hospital,hospital,,Chennai Kaliappa Hospital,,,,,,,Chennai,"#52, Raja Annamalai Puram",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2341561 13.0833606),600010,hospital,hospital,,Mots Hospital,,,,,,,Chennai,"264/125, Kilpauk Garden Road, Kilpauk",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2157642 13.0723588),600106,hospital,hospital,,Vasanthi Orthopaedic Hospital,,,,,,,Chennai,"Cp-50, Razack Garden Main Road, Arumbakkam",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2481786 13.0788127),600010,hospital,hospital,,R.K. Gynaec And Maternity Hospital,,,,,,,Chennai,"866, Poonamallee High Road, Kilpauk",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2278288 13.0240792),600015,hospital,hospital,,R.G. Stone Urological Research Institute,,,,,,,Chennai,"391/392, Anna Salai, 1st Floor, Miv Complex., Opposite New Bus Stand, Saidapet",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2311788 13.0485912),600017,hospital,hospital,,R. K. Eye Centre,,,,,,,Chennai,"No. 14/20, Chari Street, T. Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2317998 13.0714757),600031,hospital,hospital,,Psymed Hospiyal,,,,,,,Chennai,"49/2,Harrington Road,Chetput",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2187696 13.0433091),600033,hospital,hospital,,"Vasanthram Hospital (P) Ltd.,",,,,,,,Chennai,"No.7, Varadappan Street,West Mambalam",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2133146 13.0516559),600026,hospital,hospital,,Vadapalani Multispeciality Hospital,,,,,,,Chennai,"Near Murugan Temple, Vadapalani, Palaniandavar Koil St",Tamil Nadu,,OpenGovernmentData,,,,,,Chennai Zone X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2876528 13.1232306),600021,hospital,hospital,,"M N Eye Hospital Private Limited, Tondiarpet",,,,,,,Chennai,"No.781, T H Road, Opposite Tondiarpet Police Station",Tamil Nadu,private,OpenGovernmentData,https://www.mneyehospitals.com/,Tondiarpet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2502386 13.0838812),600010,hospital,hospital,,Doctor Rexs Hospitals,,,,,,,Chennai,"(Old No.19), New No.37, Millers Road, Kilpauk",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2189144 12.9855882),600042,hospital,hospital,,Helios Hospital Pvt Ltd,,,,,,,Chennai,"No.39, Rajalakhsmi Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,2026-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2605303 13.0995855),600012,hospital,hospital,,Deepam Muthu Hospital,,,,,,,Chennai,"#105, Pulianthope High Road,Pulianthope",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2899749 13.1238765),600081,hospital,hospital,,Malligai Hospital,,,,,,,Chennai,"Old No 10, New No 33, Agastya Theatre Back Side, Tondiarpet, Kannka Pillai Street",Tamil Nadu,,OpenGovernmentData,,,,,,Chennai Zone I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.235353 13.0282655),600035,hospital,hospital,,Huma Specialists Hospital and Research Centre Pvt Ltd,,,,,,,Chennai,"786 Anna Salai, CIT Nagar West",Tamil Nadu,private,OpenGovernmentData,https://humahospital.com/,Nandanam,admin@humahospital.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2485046 13.1418442),600118,hospital,hospital,,Noor`S Hospital,,,,,,,Chennai,"No.13, Seetharam Nagar, Vii Street, Munsif Garden,Chinnakodungaiyur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2287099 13.1177888),600082,hospital,hospital,,"Vasan Eye Care Hospital, Perambur",,,,,,,Chennai,"#289/149, D.No.149, ,Paper Mills Road, Opp To 70 Feet Road,Perambur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2162984 13.0379757),600083,hospital,hospital,,Sri Sai Krs Hospital,,,,,,,Chennai,"No.39, Ashok Nagar, 7Th Avenue",Tamil Nadu,,OpenGovernmentData,,,,,,Chennai Zone X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1883923 12.9779713),600061,hospital,hospital,,"Gowri Nursing Home, Kanchipuram",,,,,,,Kanchipuram,"18, 6Th Street Lakshmi Nagar, Nanganallur Chennai",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2469972 13.0813959),600010,hospital,hospital,,Satish Eye Hospital,,,,,,,Chennai,"No. 15, Ormes Road, Kilpauk",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.220515 13.0741442),600029,hospital,hospital,,"A.K. Hospital, Chennai",,,,,,,Chennai,"P.H. Road,Jn Of P.H. Road And, Nelson Manickam Road, Aminjikarai",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2159045 13.0331935),600083,hospital,hospital,,Ammayi Eye Hospital,,,,,,,Chennai,"New No 80, 7Th Avenue Ashok Nagar",Tamil Nadu,private,OpenGovernmentData,https://www.ammayieyehospital.com/,Ashok Nagar,contact@ammayieyehospital.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2013517 13.0379671),600001,hospital,hospital,,K.M. Speciality Hospital,,,,,,,Chennai,"453 And 454, R.K. Shanmugam Salai , K.K. Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2923493 13.1113868),600013,hospital,hospital,,Subha Hospital,,,,,,,Chennai,"87/38, M.S. Koil Street, Royapuram",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2394965 13.0339283),600017,hospital,hospital,,Radhatri Nethralaya,,,,,,,Chennai,"12, Hindi Prachara Sabha Street, T Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,2025-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2044211 13.0400969),600078,hospital,hospital,,"S M Hospital, Chennai",,,,,,,Chennai,"B-49B, Dr.Ramasamy Salai, Near Pillayar Koil Bus Stop, K.K Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2090184 13.0924039),600040,hospital,hospital,multi speciality,Aashiana Hospital,,,,,,,Chennai,"1201, 6th Avenue",Tamil Nadu,private,OpenGovernmentData,http://www.aashianachennai.com/p/home.html,Anna Nagar,info@aashianachennai.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2498054 13.0847009),600010,hospital,hospital,,"Ayesha Hospital, Kilpauk",,,,,,,Chennai,"91-A Millers Road, Kilpauk",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2517212 13.0323531),600018,hospital,hospital,,Frontline Eye Hospital,,,,,,,Chennai,123 T.T.K. Rood Alwarpet,Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2744473 13.0477722),600005;600014,hospital,hospital,,Fousiya Hospital,,,,,,,Chennai,"New No: 119, Old No: 56, Ice House Police Station, Triplicane, Dr. Natesan St;Sudandira Nagar",Tamil Nadu,,OpenGovernmentData;Local Knowledge,,,,,,Chennai Zone Ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2274586 13.0764653),600030,hospital,hospital,,Hande Hospital,,,,,,,Chennai,"45, Lakshmi Talkies Road",Tamil Nadu,private,OpenGovernmentData,https://www.handehospital.org/,Shenoy Nagar,handehospital@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2381137 13.0374924),600017,hospital,hospital,,Dr Gurusekaran Hospital Pvt Ltd,,,,,,,Chennai,"N0-01, Crescent Park Street, T Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2068955 12.9952982),600088,hospital,hospital,,G. R. Hospital & Fertility Centre,,,,,,,Chennai,"#12/6, City Link Road, Near NGO Colony Bus Stand",Tamil Nadu,private,OpenGovernmentData,http://www.grfertilitycentre.com/,Adambakkam,grhospital@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2585199 13.0899919),600004,hospital,hospital,,G K M Hospital Pvt Ltd,,,,,,,Chennai,"120/113, Perambur Barracks Road, Purasawalkam",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2601581 12.9864526),600041,hospital,hospital,,Starlight Hospitals Pvt Ltd,,,,,,,Chennai,"Old No 3, New 11, North Mada Street, Near Marundeeswarar Temple, Near Thiruvanmiyur Bus Terminus",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2566481 13.0274616),600028,hospital,hospital,,Kaliappa Renal Center,,,,,,,Chennai,"No.43,Second Main Road,R A Puram",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1986745 12.9911179),600088,hospital,hospital,,K P Childrens Hospital And Neuro Centre,,,,,,,Kanchipuram,"No 3, Near Jayalakshmi Cinema Hall & St Thomas Mount Railway Station, Medavakkam Main Road, Adambakkam, Chennai - 600088",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2107431 13.0760812),600106,hospital,,,Ayur Kshetra ( A Unit Of Institute Of Ayurvedic Research Pvt Ltd),,,,,,,Chennai,"No 5, Panchaliamman Koil Street, Arumbakkam",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2339764 13.0343985),600017,hospital,hospital,,Krishna Eye And Ent Hospitals,,,,,,,Chennai,"No.39, Burkit Road, T. Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2230605 13.0842894),600102,hospital,hospital,,Vishnu Eye Clinic and Laser Foundation,,,,,,,Chennai,"No C 46, Near Chintamani, 2nd Avenue, Anna Nagar East",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2646568 13.0476871),600014,hospital,hospital,,"Santhigiri Ayurveda and Siddha Hospital, Chennai",,,,,,,Chennai,"No.159 Lloyds Road , Siva .Ent Hospital Building",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2110462 13.054729),600026,hospital,hospital,,Vijaya Heart Foundation - Vijaya Hospital,,,,,,,Chennai,"180, Nsk Salai, Vadapalani",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2691898 12.995229),600020,hospital,hospital,,Santosh Hospital Pvt Ltd,,,,,,,Chennai,"No. 1, 7Th Avenue, Besant Nagar. Near Velankanni Church",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2219681 13.0847414),600102,hospital,hospital,,"Dr.Agarwal's Eye Hospital Ltd., Anna Nagar",,,,Dr. Agarwal's Eye Hospital,,,Chennai,"No.107, A Block, 3rd Avenue, Anna Nagar Roundana",Tamil Nadu,private,OpenGovernmentData,https://www.dragarwal.com/,Anna Nagar,annanagar@dragarwal.com,Q17052044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2222002 12.9762711),600042,hospital,hospital,,Athipathi Hospital and Research Centre,,,,,,,Chennai,"No.-4, 100 Feet Road, Tansi Nagar, Velachery",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2519137 13.0349787),600018,hospital,hospital,,Girishwari Hospital Pvt Ltd,,,,,,,Chennai,"19, K.B Dasan Road (SIET College Road), Alwarpet",Tamil Nadu,private,OpenGovernmentData,https://girishwarihospital.com/,Alwarpet,enquiry@girishwarihospital.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2923614 13.1152895),600012,hospital,hospital,,Sri Kumaran Multi Speciality Hospital,,,,,,,Chennai,"N0:532, Suriya Narayana Street, Royapuram",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1691809 13.0840124),600037,hospital,hospital,,Dr. Arvind Vision Care,,,,,,,Tiruvallur,"Old No.61New No.3,Reddy Palayam Road,Mugappair West",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2618016 13.0407013),600004,hospital,hospital,,Dr. K Ravi Eye Care,,,,,,,Chennai,No. 03 2nd Link Street. Cit Colony,Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1877418 13.0896987),600101,hospital,,,"SKS Hospital, Chennai",,,,,,,Chennai,"959, Tvs Colony Annanagar West Extension",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2541439 13.0268688),600004,hospital,hospital,,Madras Ent Research Foundation,,,,,,,Chennai,"15, P.S.Sivasamy Salai, Off Dr.Radhakrishnan Raod) Mylapore",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.257671 13.0541946),600086,hospital,hospital,multi speciality,Dr. Mohans Mv Diabetes Specialities Centre - Chennai,,,,,,,Chennai,"6B, Conran Smith Road, Gopalapuram",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.228211 12.9109406),603103,hospital,hospital,,Chettinad Super Speciality Hospital,,,,,,,Chennai,"Rajiv Gandhi Salai, Old Mahabalipuram Road",Tamil Nadu,private,OpenGovernmentData,http://www.chettinadhealthcity.com/,Kelambakkam,cssh@chettinadhealthcity.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1523131 13.1185204),600053,hospital,hospital,,Dr.Bhats Eye Hospital,,,,,,,Tiruvallur,"Vijoya Complex,No.1.M.J.H.Road,Ambattur,Chennai",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2336988 13.0780204),600010,hospital,hospital,,Lifeline Rigid Hospital,,,,,,,Chennai,"47/3, New Avadi Road,Near Kilpauk Post Office",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2299839 13.0748591),600029,hospital,hospital,,Dr. Seshiah Diabetes Research Institute and Dr. Balaji Diabetes Care Centre,,,,,Q30269766,,Chennai,"#729, P.H. Road, ,Near Pachaiappa's College,Aminjikarai",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2520867 13.0022187),600020,hospital,hospital,,Dr.Kamakshi Memorial Hospital,,,,,,,Chennai,"6/13, 3rd Cross Street, Kasthuribai Nagar, Adyar",Tamil Nadu,private,OpenGovernmentData,https://www.drkmh.com/,,info@drkmh.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2279374 13.034051),600017,hospital,hospital,,Dr.Duraiswami Eye Hospital,,,,,,,Chennai,"No.10/11, Madley Road, T.Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.217509 12.9832366),600042,hospital,hospital,,Dr.Agarwals Eye Hospital - Velacherry,,,,Dr. Agarwal's Eye Hospital,,,Chennai,"27, 100 Feet Road, Taramani Link Road, Velacherry",Tamil Nadu,private,OpenGovernmentData,,,,Q17052044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1891661 12.9827844),600061,hospital,hospital,,"Dr.Agarwal's Eye Hospital Ltd, Nanganallur",,,,Dr. Agarwal's Eye Hospital,,,Kanchipuram,"Ophthalmology Department, Margaret Sydney Hospital, 13,2nd Street, Nanganallur",Tamil Nadu,private,OpenGovernmentData,,,,Q17052044,,,Chennai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2422899 13.0465492),600017,hospital,hospital,,Dr. Udhaya Rajas Dental Centre,,,,,,,Chennai,"56,(Old No.105), G.N. Chetty Road, First Floor, T.Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1942193 13.0973284),600101,hospital,hospital,,Dhanvantari Eye Care,,Q202011,,,,,Chennai,"W-27, Old No.18, North Main Road,Anna Nagar West Extn",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2318051 13.1183119),600082,hospital,hospital,,Sri Bala Nursing Home,,,,,,,Chennai,"46, S.R.P. Kil Street(North) T.V.K.Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2581659 13.1638346),600068,hospital,hospital,,"Anand Hospital, Chennai",,,,,,,Tiruvallur,"201, Kamarajar Salai Manali Chennai",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2218689 13.0314888),600033,hospital,hospital,,Lakshmi Hospital,,,,,,,Chennai,"Near Srinivasa Theatre, West Mambalam, Govindan Road",Tamil Nadu,,OpenGovernmentData,,,,,,Chennai Zone X,,2024-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2320063 12.9326457),600096,hospital,hospital,,Nanthini Hospital,,,,,,,Kanchipuram,"168, Chandrasekaran Avenue, O.M.R, Thoraipakkam , Opposite To P.T.C Bus Stop",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.245015 13.0480981),600017,hospital,hospital,,Bharathirajaa Hospital and Research centre,,,,,,,Chennai,"Gopathi Narayanaswami Chetty Rd, Satyamurthy Nagar, T. Nagar",Tamil Nadu,,OpenGovernmentData,,,,,,Chennai Zone Ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2444142 13.0699812),600031,hospital,hospital,,Bethany Health Care Centre,,,,,,,Chennai,"72, Spur Tank Road,Chetpet",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2917197 13.1105084),600013,hospital,hospital,,Bhagwan Mahaveer Eye Hospital,,,,,,,Chennai,"No.142, M.S. Koil Street, Royapuram",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1937835 12.9823277),600061,hospital,hospital,,Bharath Hospital,,,,,,,Chennai,"72, I Main Road,Naganallur",Tamil Nadu,,OpenGovernmentData,http://www.bharathhospital.in,,,,,,,,,Nanganallur 1st Main Road,+91 44 2224 6481;+91 44 2224 6789;+91 98419 72378,,24/7,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2582785 13.0382607),600004,hospital,hospital,,Trinity Acute Care Hospital - Chennai,,,,,,,Chennai,"No:33, Near Alwarpet Signal, Mylapore, Desikan Road",Tamil Nadu,,OpenGovernmentData,,,,,,Chennai Zone Ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2269866 13.0274436),600015,hospital,hospital,,Balakrishna Eye Hospital,,,,,,,Chennai,"11, Sastri 1st Cross Street, Kaveri Nagar Saidapet",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1504859 13.1190773),600010,hospital,hospital,,Dr Rabindran's Health Care Center,,,,,,,Chennai,"212 Mth Road, Ambattur",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2655232 13.026013),600028,hospital,hospital,,B.S.S. Hospital,B.S.S. Hospital,,,,,,Chennai,"200, Ramakrishnan Mutt Road, Mandaveli",Tamil Nadu,,OpenGovernmentData,,,,,,,,2024-05-21,,,,yes,,,,,yes,,,,,,,no,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2454831 13.0519442),600034,hospital,hospital,,B.R.S. Hospital Pvt. Ltd.,,,,,,,Chennai,"No: 28, Cathedral Gardens Road, Next Hotel Palm Grove, Nungambakkam",Tamil Nadu,,OpenGovernmentData,,,,,,Chennai Zone Ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2558136 13.037303),600086,hospital,hospital,,Harvey Healthcare Limited,,,,,,,Chennai,"Old No 32, New No 12, Conran Smith Road, Gopalapuram",Tamil Nadu,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
