geometry,amenity,atm,brand,brand:wikidata,brand:wikipedia,name,name:en,short_name,branch,website,brand:en,brand:hi,brand:kn,brand:pa,brand:pnb,brand:ur,brand:wikipedia:pa,name:hi,name:kn,name:pa,name:pnb,name:ur,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,phone,drive_through,created_by,operator,brand:ta,name:ta,old_name,source,air_conditioning,check_date,currency:INR,internet_access,addr:housename,designation,email,postal_code,level,addr:block,addr:suburb,wheelchair,operator:wikidata,operator:wikipedia,brand:fa,brand:mr,brand:website,name:fa,name:mr,short_name:pa,short_name:ur,office,not:brand:wikidata,description,image,opening_hours:covid19,internet_access:fee,building,addr:district,note,building:levels,addr:full
POINT (80.2540371 12.9993751),bank,,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,https://www.sbi.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2215816 13.036293),bank,,City Union Bank,Q2040264,,City Union Bank,City Union Bank,CUB,,,City Union Bank,सिटी यूनियन बैंक,,,,سٹی یونین بینک,,सिटी यूनियन बैंक,,,,سٹی یونین بینک,,,,,,,,,,சிட்டி யூனியன் வங்கி,சிட்டி யூனியன் வங்கி,,,,,,,,,,,,,,,,,سیتی یونیون بنک,सिटी युनियन बँक,https://www.cityunionbank.com,سیتی یونیون بنک,सिटी युनियन बँक,ਸੀ ਯੂ ਬੀ,سی یو بی,,,,,,,,,,,
POINT (80.2204383 12.9739114),bank,yes,Axis Bank,Q2003549,en:Axis Bank,Axis Bank,Axis Bank,,Velachery,https://www.axisbank.com,,,,,,,,,,,,,Chennai,37D,600042,Velachery Main Road,Mo-Sa 10:00-17:00,,no,,Axis Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2553762 12.9587561),bank,,ICICI Bank,Q1653258,,ICICI Bank,ICICI Bank,ICICI,,https://www.icicibank.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2240568 13.0695175),bank,,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,,,,,,,,,,,,,,,1,,Railway Colony 1st Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2489015 13.0645741),bank,,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,,,,,,,,,,,,,,,,600006,Pycrofts Garden Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.223536 12.983151),bank,yes,UCO Bank,Q2005310,en:UCO Bank,UCO Bank,UCO Bank,,,https://www.ucobank.com,,,,,,,,,,,,,,,,,,,,,,,,United Commercial Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.260596 13.0685113),bank,,,,,VIJAYA BANK & DUGAR FINANCE INDIA LTD,,,,,,,,,,,,,,,,,,121,600008,Rukmani Lakshmipathi Road,,,,,finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2600725 13.0722106),bank,,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,https://www.sbi.co.in,,,,,,,,,,,,,,,600008,Pantheon Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2596746 13.071737),bank,,Karur Vysya Bank,Q6373724,en:Karur Vysya Bank,Karur Vysya Bank,Karur Vysya Bank,KVB,,https://www.kvb.co.in,,,,,,,,,,,,,,,,Pantheon Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2594527 13.0716039),bank,,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,,,,,,,,,,,,,,,,,Pantheon Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2578717 13.074852),bank,,Axis Bank,Q2003549,en:Axis Bank,Axis Bank,Axis Bank,,& ATM,https://www.axisbank.com,,,,,,,,,,,,,,,,Halls Road,Mo-Sa 09:00-16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2608673 13.0684257),bank,,,,,VIJAYA BANK,,,,,,,,,,,,,,,,,,,,Rukmani Lakshmipathi Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2155874 13.0246097),bank,,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,,,,,,,,,,,,,,,,,West Jones Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2413299 12.9970311),bank,,Canara Bank,Q2003777,,Canara Bank,Canara Bank,,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,600036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2424961 13.0404429),bank,,,,,Chennai central cooperative bank,,,,,,,,,,,,,,,,,,,,Sir Thyagaraya Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1832616 13.0278579),bank,,HDFC Bank,Q631047,,HDFC Bank,HDFC BANK,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2468024 13.0675883),bank,,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,HDFC Bank,HDFC,,,,,,,,,,,,,,,,,600006,College Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2242876 13.0692534),bank,,Karur Vysya Bank,Q6373724,en:Karur Vysya Bank,Karur Vysya Bank,Karur Vysya Bank,,,,,,,,,,,,,,,,,,,Railway Colony 1st Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2594227 13.0428997),bank,yes,Andhra Bank,Q2003476,en:Andhra Bank,Andhra Bank,Vodafone office for SIMs for foreigners;Andhra Bank,,,https://www.andhrabank.in,,,,,,,,,,,,,,222,600018,TTK Road,Mo-Sa 10:00-20:00,,,,Vodafone,,,,,,,,,,,,,,,,,,,,,,,,,,telecommunication,,,,,,,,,,
POINT (80.2468836 13.067615),bank,yes,Indian Overseas Bank,Q2003611,en:Indian Overseas Bank,Indian Overseas Bank,Indian Overseas Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2533852 13.0738584),bank,,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,HDFC Bank,HDFC,,,,,,,,,,,,,,,,,600008,SAIT Colony 1st Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2534283 13.073756),bank,,Indian Bank,Q2003789,en:Indian Bank,Indian Bank,Indian Bank,,,,,,,,,,,,,,,,,,600008,SAIT Colony 1st Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2533189 13.0739672),bank,,Canara Bank,Q2003777,en:Canara Bank,Canara Bank,Canara Bank,,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,ਕੇਨਰਾ ਬੈਂਕ,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,600008,SAIT Colony 1st Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2528637 13.0717246),bank,,Corporation Bank,Q2003387,en:Corporation Bank,Corporation Bank,Corporation Bank,,,,,,,,,,,,,,,,,,600008,Casa Major Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.236367 13.0400035),bank,,,,,பஞ்ஐாப் நேஷனல் வங்கி,,,,,,,,,,,,,,,,,,,,Raja Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2622329 13.0831875),bank,,ICICI Bank,Q1653258,en:ICICI Bank,ICICI Bank,ICICI Bank,ICICI,,,,,,,,,,,,,,,,,,EVK Sampath Salai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2434146 13.1120015),bank,,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,State Bank of India,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2597051 13.0444847),bank,,,,,,T.t.k road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2476261 13.0412133),bank,,,,,,Oriental insurance company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2625917 13.083969),bank,,Axis Bank,Q2003549,en:Axis Bank,Axis Bank,Axis Bank,,,,,,,,,,,,,,,,,,,EVK Sampath Salai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2554321 12.9995841),bank,,Indian Overseas Bank,Q2003611,,Indian Overseas Bank,Indian Overseas Bank,,,,,,,,,,,,,,,,,,600020,Indira Nagar 1st Ave,"Mo-Fr 09:00-12:00, 13:00-15:00; Sa 09:00-13:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.225057 12.9785549),bank,yes,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2608433 13.0392735),bank,no,,,,ICICI Wealth Management Bank,,,,,,,,,,,,,,,,,chennai,,600004,Musiri Subramanium Road,Mo-Sa 09:30-18:00,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,Q1653258,,,,,,,,,
POINT (80.2728894 13.0670878),bank,,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,Walajah Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2281259 12.9000451),bank,,Indian Bank,Q2003789,,Indian Bank,,,Sholinganallur,,,,,,,,,,,,,,,,,,"Mo-Fr 10:00-05:00, Sa 09:30-01:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2065688 13.019768),bank,,Axis Bank,Q2003549,en:Axis Bank,Axis Bank,,,,,,,,,,,,,,,,,,33,,"Jawaharlal Nehru Road, Ekkattuthangal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2017935 13.0854015),bank,,Kotak Mahindra Bank,Q2040404,en:Kotak Mahindra Bank,Kotak Mahindra Bank,,,,,,,,,,,,,,,,,,,,"2nd Avenue, Anna Nagar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2066454 13.0198992),bank,,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,,,,,,,,,,,,,,,,,"Jawaharlal Nehru Road, Ekkattuthangal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2433647 13.1132518),bank,,,,,,Karur Vaysya Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2030307 13.0853972),bank,,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.253253 12.941612),bank,,ICICI Bank,Q1653258,,ICICI Bank,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2582089 12.9710351),bank,,Tamilnad Mercantile Bank Limited,Q2044991,,Tamilnad Mercantile Bank Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.255784 12.9957343),bank,yes,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2398822 13.0398137),bank,,,,,DCB Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2086895 13.1025875),bank,,Axis Bank,Q2003549,en:Axis Bank,Axis Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2053268 13.0169706),bank,yes,Canara Bank,Q2003777,en:Canara Bank,Canara Bank,Canara Bank,,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,ਕੇਨਰਾ ਬੈਂਕ,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2350685 13.0580238),bank,,ICICI Bank,Q1653258,en:ICICI Bank,ICICI Bank,ICICI Bank,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2356223 13.057887),bank,,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,HDFC Bank,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2117178 13.0548269),bank,,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.211646 13.0549473),bank,,Axis Bank,Q2003549,en:Axis Bank,Axis Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.211892 13.0629802),bank,,HDFC Bank,Q631047,,HDFC Bank,,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1813314 13.0776275),bank,,,,,SBI Mogapair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2026997 12.940343),bank,,Indian Overseas Bank,Q2003611,,Indian Overseas Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2010183 13.1032078),bank,,Indian Bank,Q2003789,en:Indian Bank,Indian Bank,,,,,,,,,,,,,,,,,,,,"Villivallam, Chennai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2101607 13.0666944),bank,yes,Federal Bank,Q2044983,,Federal Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2125602 13.0358003),bank,yes,Indian Bank,Q2003789,en:Indian Bank,Indian Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2125295 13.0365047),bank,yes,Indian Bank,Q2003789,en:Indian Bank,Indian Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2385434 13.0306399),bank,yes,Indian Bank,Q2003789,en:Indian Bank,Indian Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2509637 12.9801314),bank,yes,State Bank of India,Q1340361,,State Bank of India,,SBI,,,,,,,,,,,,,,,,,600041,,,,,,State Bank Of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2369283 13.029706),bank,,,,,,Periyar Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2132247 13.0630925),bank,,ICICI Bank,Q1653258,en:ICICI Bank,ICICI Bank,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2642763 13.0407718),bank,,,,,,"Union bank of india, mylapore branch",,,,,,,,,,,,,,,,,,,Sivaswamy Salai,Mo-Su 10:00-15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1775218 13.0279585),bank,,Bank of Baroda,Q2003797,en:Bank of Baroda,Bank of Baroda,,,Bank and ATM,,,,,,,,,,,,,,,,,,Mo-Fr 10:00-16:00; Sa 10:00-13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2558139 12.9925557),bank,,Yes Bank,Q2040394,,Yes Bank,Yes Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.205581 13.0213401),bank,yes,City Union Bank,Q2040264,,City Union Bank,City Union Bank,CUB,,,City Union Bank,सिटी यूनियन बैंक,,,,سٹی یونین بینک,,सिटी यूनियन बैंक,,,,سٹی یونین بینک,,,,Poonamalle Road,,,,,,சிட்டி யூனியன் வங்கி,சிட்டி யூனியன் வங்கி,,,,,,,,,,,,,,,,,سیتی یونیون بنک,सिटी युनियन बँक,https://www.cityunionbank.com,سیتی یونیون بنک,सिटी युनियन बँक,ਸੀ ਯੂ ਬੀ,سی یو بی,,,,,,,,,,,
POINT (80.2467787 13.0617768),bank,,ICICI Bank,Q1653258,en:ICICI Bank,ICICI Bank,Icici Bank,ICICI,,,,,,,,,,,,,,,,,,Uttamar Gandhi Salai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2588466 13.0453027),bank,,HSBC,Q190464,en:HSBC,HSBC,Hsbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2461883 13.0297832),bank,,Axis Bank,Q2003549,en:Axis Bank,Axis Bank,Axis bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2478011 13.029346),bank,,Union Bank of India,Q2004078,en:Union Bank of India,Union Bank of India,Union bank of india,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2573042 13.0497796),bank,,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,HDFC bank,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2584202 13.0491472),bank,,Axis Bank,Q2003549,en:Axis Bank,Axis Bank,Axis bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1928382 13.014611),bank,,HDFC Bank,Q631047,en:HDFC Bank,HDFC Bank,,HDFC,Nandambakkam Branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,
POINT (80.1929615 13.0144646),bank,,Central Bank of India,Q2007090,en:Central Bank of India,Central Bank of India,,,Nandambakkam Branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1993053 13.0150508),bank,,Tamilnad Mercantile Bank Limited,Q2044991,,Tamilnad Mercantile Bank Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2657136 13.0638307),bank,,State Bank of India,Q1340361,,State Bank of India,,SBI,,,,,,,,,,,,,,,,,,,Mo-Sa 10:00-16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2654083 13.0635654),bank,,Dhanlaxmi Bank,Q2040440,en:Dhanlaxmi Bank,Dhanlaxmi Bank,Dhanlaxmi Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2657743 13.0647232),bank,,Indian Overseas Bank,Q2003611,en:Indian Overseas Bank,Indian Overseas Bank,Indian Overseas Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.265586 13.0645138),bank,,,,,,digibank by DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2676982 13.0649153),bank,,Kotak Mahindra Bank,Q2040404,en:Kotak Mahindra Bank,Kotak Mahindra Bank,Kotak Mahindra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2677508 13.0645924),bank,,Punjab National Bank,Q2743499,en:Punjab National Bank,Punjab National Bank,Punjab National Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2121821 13.0330207),bank,,Yes Bank,Q2040394,en:Yes Bank,Yes Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2122665 13.033542),bank,,Kotak Mahindra Bank,Q2040404,en:Kotak Mahindra Bank,Kotak Mahindra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2421912 13.0584041),bank,,Canara Bank,Q2003777,en:Canara Bank,Canara Bank,Canara Bank,,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,ਕੇਨਰਾ ਬੈਂਕ,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2460383 13.0526267),bank,,Karur Vysya Bank,Q6373724,en:Karur Vysya Bank,Karur Vysya Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.244413 13.0550346),bank,,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.248171 13.0557901),bank,,Syndicate Bank,Q2004088,en:Syndicate Bank,Syndicate Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2249414 12.9863795),bank,,Central Bank of India,Q2007090,en:Central Bank of India,Central Bank of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2164639 13.0340563),bank,,IndusInd Bank,Q2040323,,IndusInd Bank,,,,,,,,,,,,,,,,,Chennai,sarvamangalam colony,600083,10th Avenue,,,,,http://www.indusind.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2240949 12.9773985),bank,,Bandhan Bank,Q19882235,,Bandhan Bank,,,Velachery Branch,,,,,,,,,,,,,,,,,,,,,,Bandhan Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2111489 13.0370302),bank,,Bank of Baroda,Q2003797,en:Bank of Baroda,Bank of Baroda,,,,https://www.bankofbaroda.in/,,,,,,,,,,,,,,,,"Dr Natesan Salai, Raghavareddy Colony, Sector 10, Ashok Nagar, Chennai, Tamil Nadu 600083",Mo-Sa 10:00-17:00,044 2345 4272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hours might differ on Saturday,,,,,,,,
POINT (80.2110613 13.0370699),bank,,Indian Overseas Bank,Q2003611,en:Indian Overseas Bank,Indian Overseas Bank,,,,,,,,,,,,,,,,,,,,"Dr Natesan Salai, Raghavareddy Colony, Sector 10, Sivalingapuram, Ashok Nagar, Chennai, Tamil Nadu 600083",Mo-Fr 10:00-17:00; Sa 10:00-13:00,044 2489 2696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2121346 13.0369499),bank,,Union Bank of India,Q2004078,en:Union Bank of India,Union Bank of India,,,,https://unionbankonline.co.in/,,,,,,,,,,,,,,,,"Jawaharlal Nehru Rd, Raghavareddy Colony, Zaffarkhanpet, Sivalingapuram, Ashok Nagar, Chennai, Tamil Nadu 600083",,1800 22 2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2087319 13.0279346),bank,,Indian Bank,Q2003789,en:Indian Bank,Indian Bank,,,Jafferkhanpet Branch,https://indianbank.in/,,,,,,,,,,,,,,,,"Zenofer Tower, No 119/1, Jawaharlal Nehru Rd, Ashok Nagar, West Jafferkhanpet, Chennai, Tamil Nadu 600083",Mo-Fr 10:00-15:30,044 2489 5862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2087881 13.0278797),bank,,Indian Overseas Bank,Q2003611,en:Indian Overseas Bank,Indian Overseas Bank,,,,https://iob.in/,,,,,,,,,,,,,,,,"Chennai - Theni Hwy, Pari Nagar, Chennai, Tamil Nadu 600083",Mo-Sa 09:00-15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2083687 13.0292606),bank,,State Bank of India,Q1340361,en:State Bank of India,State Bank of India,,SBI,,https://sbi.co.in/,,,,,,,,,,,,,,,,"55, 2nd St, Kasi Estate, West Jafferkhanpet, Chennai, Tamil Nadu 600083",Mo-Fr 10:00-16:00; Sa 10:00-13:00,1800 425 3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2097763 13.0320089),bank,,Indian Overseas Bank,Q2003611,en:Indian Overseas Bank,Indian Overseas Bank,,,,https://iob.in/,,,,,,,,,,,,,,,,"59/39, 11th Ave, Mettuppalayam, Ashok Nagar, Chennai, Tamil Nadu 600083",Mo-Fr 09:30-15:00,044 2474 4892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1921172 12.9651414),bank,yes,,,,Lakshmi Vilas Bank,,,,,,,,,,,,,,,,,,,,,,,,,Lakshmi Vilas Bank,,,,,,,,,,,,,,,,,Q6479935,en:Lakshmi Vilas Bank,,,,,,,,,,,,,,,,,,
